Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Default price,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Use production,Supplier,Purchase cost,Available for sale [Factory],Price [Factory],In stock [Factory],Low stock [Factory],Optimal stock [Factory],Available for sale [Stock Room],Price [Stock Room],In stock [Stock Room],Low stock [Stock Room],Optimal stock [Stock Room],item_name,uom_detail,uomDenomination,uomDimension
banana-split---smash-daddy's-(75g),10303,Banana Split - Smash Daddy's (75g),Finished Good (others),"<p>Banana split Milk chocolate bar - Smash Daddy&#39;s special, 75g</p>",N,,,,,,,variable,10.78,,10004,0.063,N,Y,,,Y,variable,0.000,,,Y,variable,0.000,,,Banana Split - Smash Daddy's,75g,,other
,,,,,,,,,,,,,,,10187,0.003,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10044,0.003,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10084,0.003,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10159,0.001,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10079,0.002,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10102,0.001,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10110,1.000,,,,,,,,,,,,,,,,,,
banana-sticks-(kg),10074,Banana Sticks (kg),Ingredients,"<p>Banana Sticks, 1 Bag = 1kg</p>",Y,,,,,,,250.00,0.00,,,,Y,,Yok Intertrade,0.00,Y,250.00,4.800,3.000,5.000,N,variable,0.000,,,Banana Sticks,kg,kg,mass
70%-dark-chocolate-base,10010,Base - 70% Dark Chocolate (kg),Base Chocolate,<p>Plain dark chocolate. Base for plain bars and many flavored products.&nbsp;</p>,Y,,,,,,,variable,167.60,,10001,0.650,N,Y,,,Y,variable,619.090,200.000,400.000,N,variable,0.000,,,Base - 70% Dark Chocolate,kg,kg,mass
,,,,,,,,,,,,,,,10003,0.050,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,8 850456 103778,0.300,,,,,,,,,,,,,,,,,,
base---85%,10013,Base - 85% Dark Chocolate (kg),Base Chocolate,<p>Base chocolate for our signature 85%</p>,Y,,,,,,,variable,187.22,,10001,0.850,N,Y,,,N,variable,191.821,50.000,100.000,N,variable,0.000,,,Base - 85% Dark Chocolate,kg,kg,mass
,,,,,,,,,,,,,,,8 850456 103778,0.150,,,,,,,,,,,,,,,,,,
base---coconut-(kg),10087,Base - Coconut 65% Dark Chocolate (kg),Base Chocolate,<p>Base Chocolate Recipe for Coconut Dark Chocolate 65%</p>,Y,,,,,,,variable,151.92,,10001,0.620,N,Y,,,N,variable,157.216,,,N,variable,0.000,,,Base - Coconut 65% Dark Chocolate,kg,kg,mass
,,,,,,,,,,,,,,,10006,0.100,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10003,0.030,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,8 850456 103778,0.250,,,,,,,,,,,,,,,,,,
base---coffee-pomelo-(kg),10088,Base - Coffee Pomelo (kg),Base Chocolate,<p>Chocolate Base for Hill Coffee Pomelo&nbsp;</p>,Y,,,,,,,variable,159.93,,10001,0.710,N,Y,,,N,variable,245.936,,,N,variable,0.000,,,Base - Coffee Pomelo,kg,kg,mass
,,,,,,,,,,,,,,,10014,0.020,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,8 850456 103778,0.270,,,,,,,,,,,,,,,,,,
base---milk-chocolate,10004,Base - Milk Chocolate (kg),Base Chocolate,,Y,,,,,,,variable,166.30,,10001,0.400,N,Y,,,Y,variable,109.153,300.000,600.000,N,variable,0.000,,,Base - Milk Chocolate,kg,kg,mass
,,,,,,,,,,,,,,,8 850456 103778,0.350,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10008,0.150,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10003,0.100,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10337,3.000,,,,,,,,,,,,,,,,,,
base---sugar-free-(kg),10089,Base - Sugar Free (kg),Base Chocolate,<p>Recipe for Base Sugar-Free Chocolate&nbsp;</p>,Y,,,,,,,variable,215.13,,10001,0.850,N,Y,,,N,variable,131.080,,,N,variable,0.000,,,Base - Sugar Free,kg,kg,mass
,,,,,,,,,,,,,,,10008,0.150,,,,,,,,,,,,,,,,,,
base---white-chocolate-(kg),10199,Base - White Chocolate (kg),Base Chocolate,<p>White chocolate&nbsp;</p>,Y,,,,,,,variable,220.68,,10003,0.350,N,Y,,,N,variable,37.228,,,N,variable,0.000,,,Base - White Chocolate,kg,kg,mass
,,,,,,,,,,,,,,,10008,0.350,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,8 850456 103778,0.300,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10007,2.000,,,,,,,,,,,,,,,,,,
battery-aaa,10372,Battery AAA (pieces),Supplies,<p>60 pieces/box</p>,N,,,,,,,7.50,0.00,,,,Y,,Chiang Mai Plastic,,Y,7.50,74.000,15.000,30.000,N,7.50,0.000,,,Battery AAA,pieces,piece,count
bench-scrapers,10430,Bench Scrapers,Supplies,,N,,,,,,,variable,0.00,,,,Y,,,,N,variable,19.000,6.000,15.000,N,variable,0.000,,,Bench Scrapers,,,
biscuit-(kg),10081,Biscuit (kg),Ingredients,"<p>Biscuit, 1 Bag = 454g&nbsp; (83B/bag)</p>",N,,,,,,,166.00,0.00,,,,Y,,Yok Intertrade,0.00,Y,166.00,2.563,,,N,166.00,0.000,,,Biscuit,kg,kg,mass
black-gloves,10436,Black Gloves,Cleaning,<p>Black Gloves for Cleaning</p>,N,,,,,,,95.00,0.00,,,,Y,,,,Y,95.00,1.000,,,N,variable,0.000,,,Black Gloves,,,
brown-box-for-holds-12-bars,10323,Brown Box for holds 12 bars,Packing,<p>Brown Box for holds 12 bars (Paleo) Brown box#2 (300boxes/time)</p>,N,,,,,,,16.50,0.00,,,,Y,,"AIPP Printing Press Co.,Ltd.",,N,variable,0.000,,,Y,16.50,0.000,50.000,100.000,Brown Box for holds 12 bars,,,
brown-sugar-(kg)-1,10450,Brown sugar (kg),Ingredients,<p>Brown sugar 1kg/pack</p>,Y,,,,,,,41.00,0.00,,,,Y,,Yok Intertrade,,Y,41.00,2.000,0.500,1.000,N,variable,0.000,,,Brown sugar,kg,kg,mass
butter-(kg),10451,Butter (kg),Ingredients,<p>Unsalted butter 1kg/box</p>,N,,,,,,,369.00,0.00,,,,Y,,Yok Intertrade,,Y,369.00,3.000,,,N,369.00,0.000,,,Butter,kg,kg,mass
c-box,10321,C Box,Packing,,N,,,,,,,5.20,0.00,BOX C,,,Y,,G.M. Box Chiang Mai,,N,5.20,0.000,,,Y,5.20,53.000,20.000,,C Box,,,
c+8-box,10312,C+8 Box,Packing,,N,,,,,,,7.20,0.00,BOX C8,,,Y,,G.M. Box Chiang Mai,,N,7.20,0.000,,,Y,7.20,19.000,20.000,,C+8 Box,,,
